"codigo","descricao","setor","termos_busca","observacao"
"EST10.95","ESTEIRA AEREA DISTRIBUIDORA DE BANDEJA","","EST10.95 ESTEIRA AEREA DISTRIBUIDORA DE BANDEJA",""
"EST10.97","INV-B22.01 SAIDA 02 DA EMBALADORA","","EST10.97 INV-B22.01 SAIDA 02 DA EMBALADORA",""
"EST13.01","A18.09 ESTEIRA SAIDA REFILETADA","","EST13.01 A18.09 ESTEIRA SAIDA REFILETADA",""
"EST13.02","A22.11 ESTEIRA AEREA PARA MARINADO","","EST13.02 A22.11 ESTEIRA AEREA PARA MARINADO",""
"EST13.03","A22.01 ESTEIRA TILE PARA CLASSIFICACAO","","EST13.03 A22.01 ESTEIRA TILE PARA CLASSIFICACAO",""
"EST13.05","B19.01 ESTEIRA ELEVATORIA PARA RAIO-X","","EST13.05 B19.01 ESTEIRA ELEVATORIA PARA RAIO-X",""
"EST13.12","INV A21 13 ESTEIRA TUMBLER","","EST13.12 INV A21 13 ESTEIRA TUMBLER",""
"EST13.13","INV A21 14 ESTEIRA ELEVATORIA","","EST13.13 INV A21 14 ESTEIRA ELEVATORIA",""
"EST13.23","A22.11 ESTEIRA AEREA DE SASSAMI","","EST13.23 A22.11 ESTEIRA AEREA DE SASSAMI",""
"EST101102","B20.05 ASA EMBALADA PARA MARINADO","","EST101102 B20.05 ASA EMBALADA PARA MARINADO",""
"EST101103","A20.02 ESTEIRA 02","","EST101103 A20.02 ESTEIRA 02",""
"EST101104","A20.04 ESTEIRA 02","","EST101104 A20.04 ESTEIRA 02",""
"EST101105","A20.05 ESTEIRA FILE 2 LINHA CONE","","EST101105 A20.05 ESTEIRA FILE 2 LINHA CONE",""
"EST101106","A20.06 ESTEIRA PONTA ASA","","EST101106 A20.06 ESTEIRA PONTA ASA",""
"EST101107","A20.07 ESTEIRA A07","","EST101107 A20.07 ESTEIRA A07",""
"EST101108","A20.09 ESCOVA LINHA DE COXA","","EST101108 A20.09 ESCOVA LINHA DE COXA",""
"EST101109","A20.05 ESTEIRA FILE 2 LINHA CONE","","EST101109 A20.05 ESTEIRA FILE 2 LINHA CONE",""
"EST101111","A20 ESTEIRA PONTA ASA","","EST101111 A20 ESTEIRA PONTA ASA",""
"EST101115","A21.01 ESTEIRA CARCACA","","EST101115 A21.01 ESTEIRA CARCACA",""
"EST101116","A21.02 PEITO COM OSSO CORTE","","EST101116 A21.02 PEITO COM OSSO CORTE",""
